All,ಎಲ್ಲಾ
"Customer with id ""%customer_id"" does not exist.","""%customer_id"" id ಯೊಂದಿಗಿನ ಗ್ರಾಹಕರು ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"""input"" value should be specified","""input"" ನಮೂದನ್ನು ಸೂಚಿಸಲೇ ಬೇಕು"
"Address ""id"" value should be specified","Address ""id"" ನಮೂದನ್ನು ಸೂಚಿಸಲೇ ಬೇಕು"
"""Email should be specified","""Email ನಮೂದನ್ನು ಸೂಚಿಸಲೇ ಬೇಕು"
"Please specify a website.","ದಯವಿಟ್ಟು ಜಾಲತಾಣವನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid email.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid region.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ವಲಯವನ್ನು ನಮೂದಿಸಿ."
Segments,ವಲಯಗಳು
"Add Segment","ವಲಯವನ್ನು ಸೇರಿಸಿ"
"New Segment","ಹೊಸ ವಲಯ"
"Segment Information","ವಲಯದ ಮಾಹಿತಿ"
Conditions,ನಿಬಂಧನೆಗಳು
"Segment Name","ವಲಯದ ಹೆಸರು"
Visitors,ಸಂದರ್ಶಕರು
Segment,ವಲಯ
"You deleted the segment.","ನೀವು ವಲಯವನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"Customer Segments","ಗ್ರಾಹಕರ ವಲಯಗಳು"
"Edit Segment","ವಲಯವನ್ನು ಸಂಪಾದಿಸಿ"
Reports,ವರದಿಗಳು
subscribed,ಚಂದಾದಾರರಗಿರುವ
"Date Range","ದಿನಾಂಕ ಶ್ರೇಣಿ"
"Address Type","ವಿಳಾಸದ ವಿಧ"
"Order Status","ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿ"
"Product %1","ಉತ್ಪನ್ನ %1"
"Date Ranges","ದಿನಾಂಕ ಶ್ರೇಣಿಗಳು"
viewed,ವೀಕ್ಷಿಸಿದ
ordered,ವ್ಯಾಪಾರಾದೇಸಿದ
"Wish List",ಇಚ್ಛಾಪಟ್ಟಿ
found,ಕಂಡುಬಂದಿದೆ
"not found",ಕಂಡುಬಂದಿಲ್ಲ
"Order Address","ವ್ಯಾಪಾರಾದೇಶದ ವಿಳಾಸ"
"Sales Amount","ವ್ಯಾಪಾರದ ಮೊತ್ತ"
"Number of Orders","ವ್ಯಾಪಾರಾದೇಶದ ಸಂಖ್ಯೆ"
"Purchased Quantity","ಖರೀದಿಸಿದ ಪರಿಮಾಣ"
Sales,ವ್ಯಾಪಾರ
matches,ಹೊಂದಿಕೆಯಾಗಿದೆ
"does not match",ಹೊಂದಿಕೆಯಾಗಿಲ್ಲ
"Shopping Cart Total","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯ ಮೊತ್ತ"
"Grand Total","ಒಟ್ಟು ಮೊತ್ತ"
"Gift Card","ಗಿಫ್ಟ್ ಕಾರ್ಡ್"
"Products Quantity","ಉತ್ಪನ್ನಗಳ ಪರಿಮಾಣ"
"greater than","ಗಿಂತ ದೊಡ್ಡದು"
"less than","ಗಿಂತ ಚಿಕ್ಕದು"
"Use in Customer Segment","ಗ್ರಾಹಕರ ವಲಯದಲ್ಲಿ ಬಳಸಿ"
"Manage Segments","ವಲಯಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Card number","ಕಾರ್ಡ್ ಸಂಖ್ಯೆ"
Decision,ನಿರ್ಧಾರ
"Risk Score","ರಿಸ್ಕ್ ಸ್ಕೋರು"
"Reference number","ಪರಾಮರ್ಶನೆ ಸಂಖ್ಯೆ"
"Access Key","ಅನುಮತಿ ಸಂಕೇತ"
"Secret Key","ರಹಸ್ಯ ಸಂಕೇತ"
"Import failed: %1","ಆಮದು ವಿಫಲವಾಗಿದೆ: %1"
"Wrong type specified: '%1'","ತಪ್ಪಾದ ವಿಧವನ್ನು ಸೂಚಿಸಲಾಗಿದೆ: %1"
"some message","ಒಂದು ಸಂದೇಶ"
Exception,ವಿನಾಯಿತಿ
"The ""%1.xml"" file doesn't exist.","""%1.xml"" ಕಡತ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"Allowed IPs (comma separated)","ಅನುಮತಿಸಿರುವ IPಗಳು (ಕಾಮಾ ವಿಭಜಿತ)"
"Wrong Content Type","ತಪ್ಪಾದ ವಿಷಯದ ವಿಧ"
Pounds,"ಪೌಂಡ್ ಗಳು"
Kilograms,ಕಿಲೋಗ್ರಾಂ
Inches,ಇಂಚುಗಳು
Centimeters,ಸೆಂಟಿಮೀಟರ್‍ಗಳು
inch,ಅಂಗುಲ
cm,ಸೆಮಿ
Height,ಎತ್ತರ
Depth,ಆಳ
Width,ಅಗಲ
Regular,ಸಾಮಾನ್ಯ
Specific,ನಿರ್ದಿಷ್ಟ
Others,ಇತರೆ
"Same day","ಅದೇ ದಿನ"
"Zero shipping charge for '%1'","'%1' ಗೆ ಶೂನ್ಯ ಸಾಗಾಣಿಕೆ ವೆಚ್ಚ"
Documents,ದಾಖಲೆಗಳು
WARNING:,ಎಚ್ಚರಿಕೆ:
"Your current currency is: %1.","ನಿಮ್ಮ ಪ್ರಸ್ತುತ ಕರೆನ್ಸಿ: %1."
Continue,ಮುಂದುವರೆಯಿರಿ
"Currency Options","ಕರೆನ್ಸಿ ಆಯ್ಕೆಗಳು"
"Allowed Currencies","ಅನುಮತಿಸಿರುವ ಕರೆನ್ಸಿಗಳು"
"API Key","API ಕೀ"
Service,ಸೇವೆಗಳು
"Invalid Document \n%1","ಅಸಿಂಧುವಾದ ದಾಖಲೆ \n%1"
"Add New Link","ಹೊಸ ಕೊಂಡಿ ಸೇರಿಸಿ"
"Upload Files","ಕಡತ ಅಪ್ಲೋಡ್ ಮಾಡಿ"
Unlimited,ಅಪರಿಮಿತ
"Something went wrong while getting the requested content.","ಈ ವಿನಂತಿಸಿದ ವಿಷಯಗಳನ್ನು ತೆಗೆಯುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
"My Downloadable Products","ನನ್ನ ಇಳಿಸಿಕೊಳ್ಳಬಹುದಾದ ಉತ್ಪನ್ನಗಳು"
"Please sign in to download your product.","ನಿಮ್ಮ ಉತ್ಪನ್ನವನ್ನು ಇಳಿಸಿಕೊಳ್ಳಲು ದಯವಿಟ್ಟು ಸೈನ್ ಇನ್ ಆಗಿ."
"The link is not available.","ಈ ಕೊಂಡಿ ಲಭ್ಯವಿಲ್ಲ."
inline,ಇನ್‍ಲೈನ್
Pending,"ಬಾಕಿ ಇರುವ"
"Is this downloadable Product?","ಇದು ಇಳಿಸಿಕೊಳ್ಳಬಹುದಾದ ಉತ್ಪನ್ನವೇ?"
Links,ಕೊಂಡಿಗಳು
"Add Link","ಕೊಂಡಿಯನ್ನು ಸೇರಿಸಿ"
Sample,ನಮೂನೆ
Shareable,ಹಂಚಿಕೊಳ್ಳಬಹುದಾದ
"Max. Downloads","ಗರಿಷ್ಟ ಡೌನ್‍ಲೋಡುಗಳು"
Samples,ನಮೂನೆಗಳು
sample,ನಮೂನೆ
"Is this a downloadable Product?","ಇದು ಇಳಿಸಿಕೊಳ್ಳಬಹುದಾದ ಉತ್ಪನ್ನವೇ?"
"Select all","ಎಲ್ಲವನ್ನೂ ಆರಿಸಿ"
"Go to <a href=""%1"">My Downloadable Products</a>","<a href=""%1"">ನನ್ನ ಇಳಿಸಿಕೊಳ್ಳಬಹುದಾದ ಉತ್ಪನ್ನಗಳು</a> ಅಲ್ಲಿಗೆ ತೆರೆಳಿ"
"Downloadable Products","ಇಳಿಸಿಕೊಳ್ಳಬಹುದಾದ ಉತ್ಪನ್ನಗಳು"
"Remaining Downloads","ಬಾಕಿ ಇರುವ ಡೌನ್‍ಲೋಡುಗಳು"
"View Order","ವ್ಯಾಪಾರಾದೇಶ ವೀಕ್ಷಿಸಿ"
"Start Download","ಡೌನ್‍ಲೋಡನ್ನು ಪ್ರಾರಂಭಿಸಿ"
download,ಡೌನ್‍ಲೋಡ್
Ordered,ವ್ಯಾಪಾರಾದೇಶಿಸಿದ
"Downloadable Product Section","ಇಳಿಸಿಕೊಳ್ಳಬಹುದಾದ ಉತ್ಪನ್ನಗಳ ವಿಭಾಗ"
Downloads,ಇಳಿಕೆಗಳು
"Downloadable Product Options","ಇಳಿಸಿಕೊಳ್ಳಬಹುದಾದ ಉತ್ಪನ್ನಗಳ ಆಯ್ಕೆಗಳು"
"Default Link Title","ನಿಯೋಜಿತ ಕೊಂಡಿಯ ಶೀರ್ಷಿಕೆ"
"Open Links in New Window","ಹೊಸ Window ಯಲ್ಲಿ ಕೊಂಡಿಯನ್ನು ತೆರೆಯಿರಿ"
"Default Label","ನಿಯೋಜಿತ ಲೇಬಲ್"
"Default label","ನಿಯೋಜಿತ ಲೇಬಲ್"
"Values Required","ನಮೂದುಗಳು ಅಗತ್ಯವಿದೆ"
"Decimal Number","ದಶಮಾನ ಸಂಖ್ಯೆ"
Letters,ಅಕ್ಷರಗಳು
"""%1"" is a required value.","""%1"" ಅಗತ್ಯವಿರುವ ನಮೂದು."
"""%1"" is not a valid image format","""%1"" ಮಾನ್ಯವಾದ ಚಿತ್ರದ ಮಾದರಿಯಲ್ಲ"
"The attributeGroup can't be saved.","ಈ ಗುಣವಿಶೇಷ ಗುಂಪನ್ನು ಉಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","""%1"" ID ಯೊಂದಿಗಿನ AttributeSet ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ. ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The attribute can't be saved.","ಈ ಗುಣವಿಶೇಷವನ್ನು ಉಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","""%1"" attributeCode ಯೊಂದಿಗಿನ ಗುಣವಿಶೇಷ ಸಂಕೇತ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ. ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The attribute can't be deleted.","ಈ ಗುಣವಿಶೇಷವನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","""%1"" ID ಯೊಂದಿಗಿನ ಗುಣವಿಶೇಷ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ. ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The ""%1"" attribute can't be saved.","""%1"" ಗುಣವಿಶೇಷವನ್ನು ಉಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"No options found.","ಯಾವುದೇ ಆಯ್ಕೆಗಳು ಕಂಡುಬಂದಿಲ್ಲ."
hello,"ನಮಸ್ತೆ,"
"Text Editor","ಪಠ್ಯ ಸಂಪಾದಕ"
"""Entity type should be specified","""Entity type ನಮೂದನ್ನು ಸೂಚಿಸಲೇ ಬೇಕು"
"""Attribute code should be specified","""Attribute ನಮೂದನ್ನು ಸೂಚಿಸಲೇ ಬೇಕು"
"Test Connection","ಪರೀಕ್ಷಾರ್ಥ ಸಂಪರ್ಕ"
"Add New Template","ಹೊಸ ಮಾದರಿಯನ್ನು ಸೇರಿಸಿ"
"Transactional Emails","ವ್ಯಾವಹಾರಿಕ ಮಿಂಚೆಗಳು"
"Delete Template","ಮಾದರಿಯನ್ನು ಅಳಿಸಿ"
"Preview Template","ಮುನ್ನೋಟ ಮಾದರಿ"
"Save Template","ಮಾದರಿಯನ್ನು ಉಳಿಸಿ"
"Edit Email Template","ಮಿಂಚೆಯ ಮಾದರಿ ಸಂಪಾದಿಸಿ"
"New Email Template","ಹೊಸ ಮಿಂಚೆಯ ಮಾದರಿ"
"Template Information","ಮಾದರಿ ಮಾಹಿತಿ"
"Template Name","ಮಾದರಿಯ ಹೆಸರು"
"Edit Template","ಮಾದರಿಯನ್ನು ಸಂಪಾದಿಸಿ"
"New Template","ಹೊಸ ಮಾದರಿ"
"Email Templates","ಮಿಂಚೆಯ ಮಾದರಿಗಳು"
"Email Preview","ಮಿಂಚೆ ಮುನ್ನೋಟ"
"Please enter a template name.","ದಯವಿಟ್ಟು ಮಾದರಿಯ ಹೆಸರನ್ನು ನಮೂದಿಸಿ."
"Thank you, %store_name","ಧನ್ಯವಾದಗಳು, %store_name"
Updated,ಪರಿಷ್ಕರಿಸಿದ
"Template Type","ಮಾದರಿಯ ವಿಧ"
"Logo Image","ಲೋಗೋ ಚಿತ್ರ"
"Header Template","ತಲೆಬರಹ ಮಾದರಿ"
"Footer Template","ಅಡಿಬರಹ ಮಾದರಿ"
"Change Encryption Key","ಗೂಢಲಿಪೀಕರಣದ ಕೀಯನ್ನು ಬದಲಿಸಿ"
"Encryption Key","ಗೂಢಲಿಪೀಕರಣದ ಕೀ"
"New Encryption Key","ಹೊಸ ಗೂಢಲಿಪೀಕರಣದ ಕೀ"
"New Key","ಹೊಸ ಕೀ"
"Please enter an encryption key.","ದಯವಿಟ್ಟು ಗೂಢಲಿಪೀಕರಣದ ಕೀಯೊಂದನ್ನು ನಮೂದಿಸಿ."
"The encryption key has been changed.","ಗೂಢಲಿಪೀಕರಣದ ಕೀಯನ್ನು ಬದಲಾಯಿಸಲಾಗಿದೆ."
"Manage Encryption Key","ಗೂಢಲಿಪೀಕರಣದ ಕೀಯನ್ನು ನಿರ್ವಹಿಸಿ"
"Private Sales","ಖಾಸಗಿ ಮಾರಾಟಗಳು"
"Address Verification","ವಿಳಾಸದ ಪರಿಶೀಲನೆ"
"Email Verification","ಮಿಂಚೆ ಪರಿಶೀಲನೆ"
"Mobile Verification","ಮೊಬೈಲ್ ಪರಿಶೀಲನೆ"
"Phone Verification","ದೂರವಾಣಿ ಸಂಖ್ಯೆ ಪರಿಶೀಲನೆ"
"Approve Message","ಅನುಮೋದನೆ ಸಂದೇಶ"
"Connection Type","ಸಂಪರ್ಕ ವಿದ"
"Transaction has been declined, please, try again later.","ವಹಿವಾಟನ್ನು ನಿರಾಕರಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
"Issue Number","ಇಶ್ಯೂ ಸಂಖ್ಯೆ"
"2 Day","2 ದಿನ"
"2 Day AM","2 ದಿನ ಪೂರ್ವಾಹ್ನ"
Ground,ಮೈದಾನ
"Home Delivery","ಹೋಂ ಡೆಲಿವರಿ"
"International Economy","ಅಂತರ್ರಾಷ್ಟ್ರೀಯ ಎಕಾನಮಿ"
Freight,ಸಾಗಾಣಿಕೆ
"National Freight","ದೇಶೀಯ ಸಾಗಾಣಿಕೆ"
"Request Courier","ಕೊರಿಯರ್ ವಿನಂತಿ"
"Business Service Center","ವಾಣಿಜ್ಯ ಸೇವಾ ಕೇಂದ್ರ"
status,ಸ್ಥಿತಿ
"Expected Delivery:","ನಿರೀಕ್ಷಿತ ಡೆಲಿವರಿ:"
"Enabled for Checkout","ಚೆಕೌಟ್ ಗಾಗಿ ಸಕ್ರಿಯವಾಗಿದೆ"
"Account ID","ಖಾತೆ ID"
Key,ಕೀಲಿ
"Displayed Error Message","ದೋಷ ಸಂದೇಶವನ್ನು ಪ್ರದರ್ಶಿಸಿದೆ"
"Ship to Applicable Countries","ಅನ್ವಯವಾಗುವ ರಾಷ್ಟ್ರಗಳಿಗೆ ರವಾನಿಸಿ"
"Ship to Specific Countries","ನಿರ್ದಿಷ್ಟ ರಾಷ್ಟ್ರಗಳಿಗೆ ರವಾನಿಸಿ"
"Gift Card Information","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಮಾಹಿತಿ"
Physical,ಭೌತಿಕ
Combined,ಜೋಡಿಸಿದ
"Add Amount","ಮೊತ್ತ ಸೇರಿಸಿ"
"Gift Card Type","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ನ ವಿಧ"
"Gift Card Sender","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ರವಾನೆದಾರ"
"Gift Card Recipient","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸ್ವೀಕೃತಿದಾರ"
"Gift Card Message","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸಂದೇಶ"
"Gift Card Lifetime","ಆಜೀವ ಪರ್ಯಂತ ಗಿಫ್ಟ್ ಕಾರ್ಡ್"
"Gift Card Is Redeemable","ಹಿಂಪಡೆಯಬಹುದಾದ ಗಿಫ್ಟ್ ಕಾರ್ಡ್"
"We cannot create this gift card.","ನಾವು ಈ ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಅನ್ನು ರಚಿಸಲಾಗುವುದಿಲ್ಲ."
"Gift Card Accounts","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಗಳು"
"Duplicate amount found.","ನಕಲಾದ ಮೊತ್ತ ಕಂಡುಬಂದಿದೆ."
"Something went wrong while preparing the gift card.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಅನು ಅಣಿಗೊಳುಸುವಲ್ಲಿ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Please specify a gift card amount.","ದಯವಿಟ್ಟು ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಮೊತ್ತವನ್ನು ಸೂಚಿಸಿ."
"Please specify all the required information.","ದಯವಿಟ್ಟು ಎಲ್ಲಾ ಅಗತ್ಯವಿರುವ ಮಾಹಿತಿಯನ್ನು ಸೂಚಿಸಿ."
"Gift Card max amount is %1","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಗರಿಷ್ಟ ಮೊತ್ತ %1"
"Gift Card min amount is %1","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಕನಿಷ್ಟ ಮೊತ್ತ %1"
"Please specify a recipient name.","ದಯವಿಟ್ಟು ಸ್ವೀಕೃತಿದಾರರ ಹೆಸರನ್ನು ಸೂಚಿಸಿ."
"Please specify a sender name.","ದಯವಿಟ್ಟು ರವಾನೆದಾರರ ಹೆಸರನ್ನು ಸೂಚಿಸಿ."
"Please specify a recipient email.","ದಯವಿಟ್ಟು ಸ್ವೀಕೃತಿದಾರರ ಮಿಂಚೆಯನ್ನು ಸೂಚಿಸಿ."
"Please specify a sender email.","ದಯವಿಟ್ಟು ರವಾನೆದಾರರ ಮಿಂಚೆಯನ್ನು ಸೂಚಿಸಿ."
"Lifetime (days)","ಆಜೀವ ಪರ್ಯಂತ (ದಿನಗಳು)"
"Allow Message","ಸಂದೇಶ ಅನುಮತಿಸಿ"
"Choose an Amount...","ಮೊತ್ತವೊಂದನ್ನು ಆರಿಸಿ..."
"Other Amount...","ಇತರೆ ಮೊತ್ತ..."
"Amount in %1","%1 ರಲ್ಲಿ ಮೊತ್ತ"
Minimum,ಕನಿಷ್ಟ
Maximum,ಗರಿಷ್ಟ
"Recipient Name","ಸ್ವೀಕೃತಿದಾರರ ಹೆಸರು"
"Recipient Email","ಸ್ವೀಕೃತಿದಾರರ ಮಿಂಚೆ"
"Maximum length of the message is %1 characters.","ಸಂದೇಶದ ಗರಿಷ್ಟ ಉದ್ದ %1 ಅಕ್ಷರಗಳಾಗಿರಬೇಕು."
"Delete Amount","ಮೊತ್ತವನ್ನು ಅಳಿಸಿ"
"Minimum: %1","ಕನಿಷ್ಟ: %1"
"Maximum: %1","ಗರಿಷ್ಟ: %1"
"Gift Cards","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಗಳು"
"Gift Card Email Settings","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಮಿಂಚೆ ಸಂಯೋಜನೆಗಳು"
"Gift Card General Settings","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸಾಮಾನ್ಯ ಸಂಯೋಜನೆಗಳು"
Redeemable,ಹಿಂಪಡೆಯಬಹುದಾದ
"Allow Gift Message","ಗಿಫ್ಟ್ ಸಂದೇಶ ಅನುಮತಿಸಿ"
"Gift Message Maximum Length","ಗಿಫ್ಟ್ ಸಂದೇಶದ ಗರಿಷ್ಟ ಉದ್ದ"
"Add Gift Card Account","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಸೇರಿಸಿ"
"Save & Send Email","ಉಳಿಸಿ & ಮಿಂಚೆ ಕಳುಹಿಸಿ"
"Edit Gift Card Account: %1","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಸಂಪಾದಿಸಿ: %1"
"New Gift Card Account","ಹೊಸ ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆ"
Information,ಮಾಹಿತಿ
"Gift Card Code","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸಂಕೇತ"
"Send Gift Card","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಕಳುಹಿಸಿ"
"-- First Please Select a Website --","--ದಯವಿಟ್ಟು ಮೊದಲು ಜಾಲತಾಣವೊಂದನ್ನು ಆರಿಸಿ--"
"Gift Card Account","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆ"
History,ಇತಿಹಾಸ
"This gift card account has been deleted.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಅಳಿಸಲಾಗಿದೆ."
"We couldn't find a gift card account to delete.","ಅಳಿಸಲು ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ನಮಗೆ ಹುಡುಕಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ."
"Edit Gift Card Account","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಸಂಪಾದಿಸಿ"
"New Account","ಹೊಸ ಖಾತೆ"
"Please select a gift card account(s)","ದಯವಿಟ್ಟು ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯ(ಗಳ) ನ್ನು ಆರಿಸಿ"
"You saved the gift card account.","ನೀವು ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"You saved the gift card account, but an email was not sent.","ನೀವು ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಉಳಿಸಿದ್ದೀರಿ, ಆದರೆ ಮಿಂಚೆಯನ್ನು ಕಳುಹಿಸಲಾಗಲಿಲ್ಲ."
"Gift Card ""%1"" was added.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ %1 ಅನ್ನು ಸೇರಿಸಲಾಗಿದೆ."
"We cannot apply this gift card.","ನಾವು ಈ ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಅನ್ನು ಅನ್ವಯಿಸಲಾಗುವುದಿಲ್ಲ."
"Gift Card ""%1"" was removed.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ %1 ಅನ್ನು ತೆಗೆದುಹಾಕಲಾಗಿದೆ."
"You can't remove this gift card.","ಈ ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಅನ್ನು ನೀವು ತೆಗೆದುಹಾಕಲು ಸಾಧ್ಯವಿಲ್ಲ."
"Could not save the gift card account.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ."
"Could not delete the gift card account.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಅಳಿಸಲಾಗಲಿಲ್ಲ."
"Gift card account %1 is not enabled.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆ %1 ಯನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ."
"Gift card account %1 is expired.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆ %1 ಯ ಕಾಲಾವಧಿ ಅಂತ್ಯವಾಗಿದೆ."
"Gift card account %1 has a zero balance.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆ %1 ಶೂನ್ಯ ಬಾಕಿಯನ್ನು ಹೊಂದಿದೆ."
Available,ಲಭ್ಯವಿದೆ
Expired,"ಕಾಲಾವಧಿ ಅಂತ್ಯಗೊಂಡಿದೆ"
"Please enter a valid customer ID.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಗ್ರಾಹಕರ IDಯನ್ನು ನಮೂದಿಸಿ."
"Order #%1.","ವ್ಯಾಪಾರಾದೇಶ #%1."
"Recipient: %1.",ಸ್ವೀಕೃತಿದಾರ:%1.
"Customer #%1.","ಗ್ರಾಹಕರು #%1."
"Gift card not found","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಕಂಡುಬಂದಿಲ್ಲ"
Alphanumeric,ಅಕ್ಷರಾಂಕೆಗಳು
Alphabetical,ಅಕ್ಷರಸಂಕೇತಗಳು
"Too many attempts, please try again later.","ಅತಿ ಹೆಚ್ಚಿನ ಪ್ರಯತ್ನಗಳು, ದಯವಿಟ್ಟು ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
"Are you sure you want to continue without saving your changes?","ನಿಮ್ಮ ಬದಲಾವಣೆಗಳನ್ನು ಉಳಿಸದೆಯೇ ಮುಂದುವರೆಯಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
Generate,ಉತ್ಪಾದಿಸಿ
"Add Gift Card","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸೇರಿಸಿ"
"Gift Card (%1)","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ (%1)"
"This won't take long . . .","ಇದು ಹೆಚ್ಚು ಸಮಯ ತೆಗೆದುಕೊಳ್ಳುವುದಿಲ್ಲ."
"Enter gift card code","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸಂಕೇತವನ್ನು ನಮೂದಿಸಿ"
"Check status and balance","ಸ್ಥಿತಿ ಮತ್ತು ಬಾಕಿಯನ್ನು ಪರೀಕ್ಷಿಸಿ"
"Have a gift card? ","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಹೊಂದಿರುವಿರಾ? "
"Click here","ಇಲ್ಲಿ ಕ್ಲಿಕ್ ಮಾಡಿ"
"Enter the gift card code","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸಂಕೇತವನ್ನು ನಮೂದಿಸಿ"
"Check Gift Card status and balance","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸ್ಥಿತಿ ಮತ್ತು ಬಾಕಿಯನ್ನು ಪರೀಕ್ಷಿಸಿ"
"Gift Card: ","ಗಿಫ್ಟ್ ಕಾರ್ಡ್: "
"Current Balance: ","ಪ್ರಸ್ತುತ ಬಾಕಿ: "
"Expires: ","ಕಾಲಾವಧಿಯ ಅಂತ್ಯ: "
"Please enter a valid gift card code.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸಂಕೇತವನ್ನು ನಮೂದಿಸಿ."
"Add or remove gift cards","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಗಳನ್ನು ಸೇರಿಸಿ ಅಥವಾ ತೆಗೆದುಹಾಕಿ"
"Gift Card Code: %code","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸಂಕೇತ: %code"
"Apply Gift Card","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಅನ್ನು ಅನ್ವಯಿಸಿ"
"Gift Card:","ಗಿಫ್ಟ್ ಕಾರ್ಡ್:"
